# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.disposed,1683134355777000000,1683134410839000000,1276
FilePageCache.totalPageDisposalsUs,1683134355777000000,1683134410839000000,646
FilePageCache.maxRegisteredFiles,1683134355777000000,1683134410839000000,730
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1683134355777000000,1683134410839000000,52756480
FilePageCache.pageHits,1683134355777000000,1683134410839000000,13340
StorageLockContext.competingThreads.90P,1683134355777000000,1683134410839000000,0
DirectByteBufferAllocator.hits,1683134355777000000,1683134410839000000,13
FilePageCache.totalPageLoadsUs,1683134355777000000,1683134410839000000,1408049
StorageLockContext.competingThreads.max,1683134355777000000,1683134410839000000,5
FilePageCache.uncachedFileAccess,1683134355777000000,1683134410839000000,244
DirectByteBufferAllocator.misses,1683134355777000000,1683134410839000000,1357
FilePageCache.maxCacheSizeInBytes,1683134355777000000,1683134410839000000,401334272
FilePageCache.pageLoadsAboveSizeThreshold,1683134355777000000,1683134410839000000,0
FilePageCache.pageLoads,1683134355777000000,1683134410839000000,1370
DirectByteBufferAllocator.reclaimed,1683134355777000000,1683134410839000000,94
FilePageCache.pageFastCacheHits,1683134355777000000,1683134410839000000,4869211
FilePageCache.disposedBuffers,1683134355777000000,1683134410839000000,1370
FilePageCache.capacityInBytes,1683134355777000000,1683134410839000000,524288000
StorageLockContext.competingThreads.avg,1683134355777000000,1683134410839000000,0.08256880733944955
NonBlockingReadAction.finalizedExecutionsCount,1683134355777000000,1683134410839000000,15964
NonBlockingReadAction.failedExecutionTimeUs,1683134355777000000,1683134410839000000,444244
NonBlockingReadAction.failedExecutionsCount,1683134355777000000,1683134410839000000,4
NonBlockingReadAction.finalizedExecutionTimeUs,1683134355777000000,1683134410839000000,22612863
FileNameCache.totalMisses,1683134355777000000,1683134410839000000,170809
FileNameCache.fastMisses,1683134355777000000,1683134410839000000,1038197
FileNameCache.queries,1683134355777000000,1683134410839000000,31678414
